time,ap,inter,util,noise,cl
2019-05-31 00:30:00+1000,adam-9800-ap,28.0,5.0,-85.0,99.0
2019-05-31 00:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 00:45:00+1000,pnp3802,19.0,4.0,-91.0,90.0
2019-05-31 00:45:00+1000,adam-9800-ap,3.0,3.0,-69.0,98.0
2019-05-31 01:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 01:00:00+1000,pnp3802,13.0,4.0,-87.0,93.0
2019-05-31 01:00:00+1000,adam-9800-ap,4.0,4.0,-83.0,98.0
2019-05-31 01:15:00+1000,adam-9800-ap,6.0,5.0,-81.0,99.0
2019-05-31 01:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 01:15:00+1000,pnp3802,11.0,4.0,-91.0,83.0
2019-05-31 01:30:00+1000,adam-9800-ap,6.0,5.0,-87.0,98.0
2019-05-31 01:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 01:30:00+1000,pnp3802,17.0,10.0,-87.0,82.0
2019-05-31 01:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 01:45:00+1000,adam-9800-ap,13.0,4.0,-85.0,99.0
2019-05-31 01:45:00+1000,pnp3802,11.0,4.0,-92.0,80.0
2019-05-31 02:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 02:00:00+1000,pnp3802,12.0,4.0,-88.0,87.0
2019-05-31 02:00:00+1000,adam-9800-ap,5.0,5.0,-87.0,98.0
2019-05-31 02:15:00+1000,adam-9800-ap,3.0,3.0,-88.0,99.0
2019-05-31 02:15:00+1000,pnp3802,11.0,4.0,-84.0,82.0
2019-05-31 02:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 02:30:00+1000,adam-9800-ap,3.0,3.0,-86.0,98.0
2019-05-31 02:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 02:30:00+1000,pnp3802,11.0,4.0,-84.0,70.0
2019-05-31 02:45:00+1000,adam-9800-ap,5.0,4.0,-85.0,99.0
2019-05-31 02:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 02:45:00+1000,pnp3802,10.0,4.0,-79.0,80.0
2019-05-31 03:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 03:00:00+1000,adam-9800-ap,5.0,4.0,-85.0,98.0
2019-05-31 03:00:00+1000,pnp3802,10.0,3.0,-80.0,82.0
2019-05-31 03:15:00+1000,pnp3802,10.0,4.0,-85.0,90.0
2019-05-31 03:15:00+1000,adam-9800-ap,4.0,4.0,-86.0,99.0
2019-05-31 03:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 03:30:00+1000,adam-9800-ap,4.0,4.0,-86.0,98.0
2019-05-31 03:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 03:30:00+1000,pnp3802,12.0,4.0,-85.0,84.0
2019-05-31 03:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 03:45:00+1000,pnp3802,11.0,4.0,-85.0,85.0
2019-05-31 03:45:00+1000,adam-9800-ap,3.0,3.0,-74.0,99.0
2019-05-31 04:00:00+1000,pnp3802,11.0,4.0,-85.0,84.0
2019-05-31 04:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 04:00:00+1000,adam-9800-ap,3.0,3.0,-84.0,98.0
2019-05-31 04:15:00+1000,adam-9800-ap,3.0,3.0,-90.0,99.0
2019-05-31 04:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 04:15:00+1000,pnp3802,11.0,4.0,-85.0,95.0
2019-05-31 04:30:00+1000,pnp3802,11.0,4.0,-85.0,94.0
2019-05-31 04:30:00+1000,adam-9800-ap,4.0,4.0,-85.0,98.0
2019-05-31 04:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 04:45:00+1000,pnp3802,10.0,3.0,-90.0,93.0
2019-05-31 04:45:00+1000,adam-9800-ap,5.0,4.0,-87.0,99.0
2019-05-31 04:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 05:00:00+1000,pnp3802,11.0,4.0,-85.0,91.0
2019-05-31 05:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 05:00:00+1000,adam-9800-ap,5.0,4.0,-86.0,98.0
2019-05-31 05:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 05:15:00+1000,pnp3802,10.0,3.0,-81.0,81.0
2019-05-31 05:15:00+1000,adam-9800-ap,3.0,3.0,-86.0,99.0
2019-05-31 05:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 05:30:00+1000,pnp3802,10.0,3.0,-86.0,79.0
2019-05-31 05:30:00+1000,adam-9800-ap,3.0,3.0,-85.0,99.0
2019-05-31 05:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 05:45:00+1000,adam-9800-ap,4.0,4.0,-90.0,99.0
2019-05-31 05:45:00+1000,pnp3802,25.0,3.0,-85.0,80.0
2019-05-31 06:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 06:00:00+1000,adam-9800-ap,5.0,4.0,-86.0,98.0
2019-05-31 06:00:00+1000,pnp3802,11.0,4.0,-91.0,87.0
2019-05-31 06:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 06:15:00+1000,pnp3802,25.0,4.0,-89.0,84.0
2019-05-31 06:15:00+1000,adam-9800-ap,6.0,6.0,-90.0,99.0
2019-05-31 06:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 06:30:00+1000,adam-9800-ap,4.0,4.0,-87.0,98.0
2019-05-31 06:30:00+1000,pnp3802,10.0,4.0,-86.0,87.0
2019-05-31 06:45:00+1000,pnp3802,12.0,4.0,-90.0,93.0
2019-05-31 06:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 06:45:00+1000,adam-9800-ap,8.0,5.0,-68.0,99.0
2019-05-31 07:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 07:00:00+1000,adam-9800-ap,3.0,3.0,-81.0,98.0
2019-05-31 07:00:00+1000,pnp3802,10.0,3.0,-86.0,97.0
2019-05-31 07:15:00+1000,adam-9800-ap,18.0,3.0,-87.0,99.0
2019-05-31 07:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 07:15:00+1000,pnp3802,11.0,4.0,-85.0,94.0
2019-05-31 07:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 07:30:00+1000,pnp3802,11.0,4.0,-87.0,99.0
2019-05-31 07:30:00+1000,adam-9800-ap,12.0,11.0,-61.0,98.0
2019-05-31 07:45:00+1000,adam-9800-ap,5.0,4.0,-84.0,99.0
2019-05-31 07:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 07:45:00+1000,pnp3802,12.0,5.0,-85.0,99.0
2019-05-31 08:00:00+1000,adam-9800-ap,3.0,3.0,-86.0,98.0
2019-05-31 08:00:00+1000,pnp3802,11.0,5.0,-84.0,95.0
2019-05-31 08:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 08:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 08:15:00+1000,pnp3802,23.0,17.0,-87.0,94.0
2019-05-31 08:15:00+1000,adam-9800-ap,4.0,4.0,-80.0,99.0
2019-05-31 08:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 08:30:00+1000,pnp3802,10.0,4.0,-85.0,87.0
2019-05-31 08:30:00+1000,adam-9800-ap,3.0,3.0,-90.0,98.0
2019-05-31 08:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 08:45:00+1000,adam-9800-ap,3.0,3.0,-86.0,99.0
2019-05-31 08:45:00+1000,pnp3802,10.0,4.0,-83.0,94.0
2019-05-31 09:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 09:00:00+1000,adam-9800-ap,5.0,4.0,-86.0,98.0
2019-05-31 09:00:00+1000,pnp3802,11.0,4.0,-86.0,95.0
2019-05-31 09:15:00+1000,adam-9800-ap,5.0,4.0,-88.0,99.0
2019-05-31 09:15:00+1000,pnp3802,11.0,4.0,-85.0,80.0
2019-05-31 09:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 09:30:00+1000,adam-9800-ap,4.0,4.0,-91.0,98.0
2019-05-31 09:30:00+1000,pnp3802,12.0,4.0,-87.0,85.0
2019-05-31 09:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 09:45:00+1000,adam-9800-ap,4.0,4.0,-85.0,99.0
2019-05-31 09:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 09:45:00+1000,pnp3802,12.0,4.0,-85.0,94.0
2019-05-31 10:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 10:00:00+1000,pnp3802,13.0,5.0,-83.0,95.0
2019-05-31 10:00:00+1000,adam-9800-ap,4.0,4.0,-79.0,98.0
2019-05-31 10:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 10:15:00+1000,adam-9800-ap,4.0,4.0,-88.0,99.0
2019-05-31 10:15:00+1000,pnp3802,13.0,5.0,-87.0,97.0
2019-05-31 10:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 10:30:00+1000,adam-9800-ap,7.0,7.0,-81.0,98.0
2019-05-31 10:30:00+1000,pnp3802,11.0,4.0,-84.0,90.0
2019-05-31 10:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 10:45:00+1000,pnp3802,15.0,6.0,-85.0,97.0
2019-05-31 10:45:00+1000,adam-9800-ap,5.0,5.0,-69.0,99.0
2019-05-31 11:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 11:00:00+1000,pnp3802,21.0,13.0,-86.0,94.0
2019-05-31 11:00:00+1000,adam-9800-ap,6.0,5.0,-76.0,98.0
2019-05-31 11:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 11:15:00+1000,adam-9800-ap,6.0,4.0,-84.0,99.0
2019-05-31 11:15:00+1000,pnp3802,15.0,6.0,-85.0,98.0
2019-05-31 11:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 11:30:00+1000,adam-9800-ap,13.0,6.0,-85.0,99.0
2019-05-31 11:30:00+1000,pnp3802,16.0,7.0,-85.0,97.0
2019-05-31 11:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 11:45:00+1000,adam-9800-ap,6.0,6.0,-88.0,99.0
2019-05-31 11:45:00+1000,pnp3802,16.0,6.0,-85.0,97.0
2019-05-31 12:00:00+1000,adam-9800-ap,22.0,13.0,-89.0,98.0
2019-05-31 12:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 12:00:00+1000,pnp3802,15.0,6.0,-86.0,97.0
2019-05-31 12:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 12:15:00+1000,pnp3802,14.0,5.0,-84.0,96.0
2019-05-31 12:15:00+1000,adam-9800-ap,6.0,4.0,-69.0,99.0
2019-05-31 12:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 12:30:00+1000,adam-9800-ap,5.0,5.0,-82.0,98.0
2019-05-31 12:30:00+1000,pnp3802,14.0,6.0,-85.0,95.0
2019-05-31 12:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 12:45:00+1000,adam-9800-ap,8.0,8.0,-87.0,99.0
2019-05-31 12:45:00+1000,pnp3802,18.0,9.0,-87.0,95.0
2019-05-31 13:00:00+1000,adam-9800-ap,7.0,7.0,-81.0,98.0
2019-05-31 13:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 13:00:00+1000,pnp3802,15.0,6.0,-84.0,95.0
2019-05-31 13:15:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 13:15:00+1000,adam-9800-ap,7.0,7.0,-85.0,99.0
2019-05-31 13:15:00+1000,pnp3802,14.0,5.0,-84.0,97.0
2019-05-31 13:30:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 13:30:00+1000,pnp3802,12.0,4.0,-85.0,94.0
2019-05-31 13:30:00+1000,adam-9800-ap,9.0,8.0,-77.0,98.0
2019-05-31 13:45:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 13:45:00+1000,pnp3802,14.0,5.0,-86.0,97.0
2019-05-31 13:45:00+1000,adam-9800-ap,9.0,7.0,-78.0,99.0
2019-05-31 14:00:00+1000,pnp1852,0.0,0.0,-1,-1
2019-05-31 14:00:00+1000,adam-9800-ap,9.0,9.0,-85.0,98.0
2019-05-31 14:00:00+1000,pnp3802,13.0,4.0,-83.0,88.0
2019-05-31 14:15:00+1000,adam-9800-ap,4.0,4.0,-86.0,99.0
2019-05-31 14:15:00+1000,pnp1852,0.0,0.0,-1,-1
